"","id","county","tot_pop","non_wa_percentage"
"271","0500000US08051","Gunnison County, Colorado",16863,0.130048034157623
"272","0500000US08053","Hinsdale County, Colorado",791,0.0986093552465234
"273","0500000US08055","Huerfano County, Colorado",6628,0.384127942063971
"274","0500000US08057","Jackson County, Colorado",1375,0.162181818181818
"275","0500000US08059","Jefferson County, Colorado",575417,0.217086043686579
"276","0500000US08061","Kiowa County, Colorado",1365,0.107692307692308
"277","0500000US08063","Kit Carson County, Colorado",7137,0.213394983886787
"278","0500000US08065","Lake County, Colorado",7750,0.396516129032258
"279","0500000US08067","La Plata County, Colorado",55563,0.213811349279197
"280","0500000US08069","Larimer County, Colorado",344084,0.172123667476546
"281","0500000US08071","Las Animas County, Colorado",14201,0.467854376452362
"282","0500000US08073","Lincoln County, Colorado",5523,0.222161868549701
"283","0500000US08075","Logan County, Colorado",22317,0.238383295245777
"284","0500000US08077","Mesa County, Colorado",151170,0.184844876628961
"285","0500000US08079","Mineral County, Colorado",753,0.0929614873837982
"286","0500000US08081","Moffat County, Colorado",13088,0.195369804400978
"287","0500000US08083","Montezuma County, Colorado",26112,0.275007659313726
"288","0500000US08085","Montrose County, Colorado",41753,0.237467966373674
"289","0500000US08087","Morgan County, Colorado",28295,0.416964127937798
"290","0500000US08089","Otero County, Colorado",18345,0.458980648678114
"291","0500000US08091","Ouray County, Colorado",4813,0.0934967795553708
"292","0500000US08093","Park County, Colorado",17894,0.108248574941321
"293","0500000US08095","Phillips County, Colorado",4288,0.228777985074627
"294","0500000US08097","Pitkin County, Colorado",17973,0.14187948589551
"295","0500000US08099","Prowers County, Colorado",11998,0.410485080846808
"296","0500000US08101","Pueblo County, Colorado",166283,0.478196809054443
"297","0500000US08103","Rio Blanco County, Colorado",6352,0.15066120906801
"298","0500000US08105","Rio Grande County, Colorado",11297,0.475435956448615
"299","0500000US08107","Routt County, Colorado",25171,0.102260537920623
"300","0500000US08109","Saguache County, Colorado",6633,0.411427709935173
"301","0500000US08111","San Juan County, Colorado",712,0.161516853932584
"302","0500000US08113","San Miguel County, Colorado",8034,0.136793627084889
"303","0500000US08115","Sedgwick County, Colorado",2311,0.184768498485504
"304","0500000US08117","Summit County, Colorado",30820,0.177352368591823
"305","0500000US08119","Teller County, Colorado",24674,0.110318553943422
"306","0500000US08121","Washington County, Colorado",4921,0.1371672424304
"307","0500000US08123","Weld County, Colorado",305885,0.341680696993968
"308","0500000US08125","Yuma County, Colorado",9959,0.248518927603173
"309","0500000US09001","Fairfield County, Connecticut",943038,0.377622110667863
"310","0500000US09003","Hartford County, Connecticut",893076,0.386933474866641
"311","0500000US09005","Litchfield County, Connecticut",181667,0.112634655716228
"312","0500000US09007","Middlesex County, Connecticut",162942,0.15899522529489
"313","0500000US09009","New Haven County, Connecticut",857748,0.368590774912911
"314","0500000US09011","New London County, Connecticut",267419,0.241355326285716
"315","0500000US09013","Tolland County, Connecticut",151009,0.15234191339589
"316","0500000US09015","Windham County, Connecticut",116398,0.172004673619822
"317","0500000US10001","Kent County, Delaware",176499,0.381854854701726
"318","0500000US10003","New Castle County, Delaware",555976,0.424601061916342
"319","0500000US10005","Sussex County, Delaware",224348,0.247379071799169
"320","0500000US11001","District of Columbia, District of Columbia",694906,0.632471154371958
"321","0500000US12001","Alachua County, Florida",266309,0.387238133146082
"322","0500000US12003","Baker County, Florida",28254,0.187796418206272
"323","0500000US12005","Bay County, Florida",184736,0.237154642300364
"324","0500000US12007","Bradford County, Florida",27142,0.259671358042886
"325","0500000US12009","Brevard County, Florida",587769,0.254116838417814
"326","0500000US12011","Broward County, Florida",1934516,0.634687952955675
"327","0500000US12013","Calhoun County, Florida",14428,0.230454671472137
"328","0500000US12015","Charlotte County, Florida",181522,0.158250790537786
"329","0500000US12017","Citrus County, Florida",145415,0.118495340920813
"330","0500000US12019","Clay County, Florida",212228,0.270996287012081
"331","0500000US12021","Collier County, Florida",372678,0.370569231347168
"332","0500000US12023","Columbia County, Florida",69999,0.274546779239703
"333","0500000US12027","DeSoto County, Florida",37241,0.451357374936226
"334","0500000US12029","Dixie County, Florida",16615,0.161600962985254
"335","0500000US12031","Duval County, Florida",937933,0.468309570086563
"336","0500000US12033","Escambia County, Florida",313249,0.35553824593215
"337","0500000US12035","Flagler County, Florida",109999,0.249574996136328
"338","0500000US12037","Franklin County, Florida",11724,0.213493688161037
"339","0500000US12039","Gadsden County, Florida",45993,0.674189550583784
"340","0500000US12041","Gilchrist County, Florida",17900,0.14
"341","0500000US12043","Glades County, Florida",13580,0.39160530191458
"342","0500000US12045","Gulf County, Florida",16105,0.243713132567526
"343","0500000US12047","Hamilton County, Florida",14364,0.45161514898357
"344","0500000US12049","Hardee County, Florida",27154,0.529056492597776
"345","0500000US12051","Hendry County, Florida",41018,0.6766053927544
"346","0500000US12053","Hernando County, Florida",186704,0.218688405176108
"347","0500000US12055","Highlands County, Florida",103852,0.3285252089512
"348","0500000US12057","Hillsborough County, Florida",1426736,0.510034091801146
"349","0500000US12059","Holmes County, Florida",19427,0.133422556236166
"350","0500000US12061","Indian River County, Florida",154241,0.245382226515648
"351","0500000US12063","Jackson County, Florida",48289,0.346724927002009
"352","0500000US12065","Jefferson County, Florida",14165,0.406565478291564
"353","0500000US12067","Lafayette County, Florida",8602,0.289932573820042
"354","0500000US12069","Lake County, Florida",345432,0.298243938025429
"355","0500000US12071","Lee County, Florida",740000,0.325312162162162
"356","0500000US12073","Leon County, Florida",290965,0.433141443128899
"357","0500000US12075","Levy County, Florida",40276,0.202055814877346
"358","0500000US12077","Liberty County, Florida",8236,0.280718795531812
"359","0500000US12079","Madison County, Florida",18474,0.456966547580383
"360","0500000US12081","Manatee County, Florida",385506,0.286568821237542
"361","0500000US12083","Marion County, Florida",353339,0.293536801768274
