"","id","county","non_wa_percentage","tot_pop","median_HH_income","five_mg_percentage","ten_mg_percentage","score"
"157","0500000US12057","Hillsborough County, Florida",0.510034091801146,1426736,61154,0.0164032209961229,0.00167014613778706,0.0239577880007619
"158","0500000US24001","Allegany County, Maryland",0.129204507231752,71352,48867,0.02088772845953,0.00522193211488251,0.0239471135467167
"159","0500000US26159","Van Buren County, Michigan",0.187309934531161,75303,60549,0.0159151193633952,0.00795755968169761,0.0236407295286975
"160","0500000US23005","Cumberland County, Maine",0.0954168820012252,292181,76059,0.0418230563002681,0.00697050938337802,0.0235322823032112
"161","0500000US26081","Kent County, Michigan",0.26180773104895,649278,66532,0.0178868020953111,0.00574932924492143,0.0234823038948776
"162","0500000US39141","Ross County, Ohio",0.104832136619445,77295,55717,0.0175746924428823,0.0105448154657293,0.0233462674304269
"163","0500000US55039","Fond du Lac County, Wisconsin",0.103869474794224,102417,65329,0.0242718446601942,0.0105177993527508,0.0232249646156617
"164","0500000US29097","Jasper County, Missouri",0.15739537518326,120048,45010,0.014546965918537,0.00540315876974231,0.0232203483118266
"165","0500000US18167","Vigo County, Indiana",0.142968699160539,107569,48013,0.0179487179487179,0.00512820512820513,0.0230800776403413
"166","0500000US36069","Ontario County, New York",0.0996275265204769,109538,66568,0.0291525423728814,0.0088135593220339,0.0230477631791668
"167","0500000US36109","Tompkins County, New York",0.226486402244214,102664,58626,0.0167151162790698,0.00508720930232558,0.0226809708468714
"168","0500000US12111","St. Lucie County, Florida",0.425276932460093,313163,58039,0.014050901378579,0.00265111346765642,0.022595123307098
"169","0500000US42019","Butler County, Pennsylvania",0.0520853405271159,186828,72262,0.0419657647708448,0.0132523467697405,0.0224697664674409
"170","0500000US39151","Stark County, Ohio",0.134410206369303,372003,55499,0.0193210545323221,0.00668111231491513,0.0224338667942405
"171","0500000US55105","Rock County, Wisconsin",0.171067476341666,162205,61243,0.0193236714975845,0.00628019323671498,0.0223742458151955
"172","0500000US26021","Berrien County, Michigan",0.250006488113776,154128,50153,0.0131108462455304,0.00417163289630513,0.0222247464520843
"173","0500000US01055","Etowah County, Alabama",0.220586950401429,103007,41447,0.0186915887850467,0,0.0220085065141305
"174","0500000US39119","Muskingum County, Ohio",0.0838568094469537,86123,51844,0.0231566118220597,0.00731261425959781,0.0219281160576041
"175","0500000US36027","Dutchess County, New York",0.28217479432455,293545,85901,0.0198907103825137,0.00699453551912568,0.0217695291616571
"176","0500000US25025","Suffolk County, Massachusetts",0.547564578686973,800806,77558,0.0157087414525966,0.00310478654592497,0.0217293019192818
"177","0500000US55071","Manitowoc County, Wisconsin",0.0938949923513571,79099,60785,0.0230202578268877,0.00920810313075507,0.0217047621136367
"178","0500000US37127","Nash County, North Carolina",0.501749646348079,94019,50656,0.00822819528250137,0.00329127811300055,0.021519753244395
"179","0500000US12101","Pasco County, Florida",0.251720966369032,525141,55828,0.018640350877193,0.00219298245614035,0.0215020382013395
"180","0500000US24045","Wicomico County, Maryland",0.370115009975355,102252,54402,0.0131868131868132,0.00263736263736264,0.0214520558886038
"181","0500000US36075","Oswego County, New York",0.0593867952409501,118427,58459,0.0347003154574132,0.00736067297581493,0.021407130229798
"182","0500000US24033","Prince George's County, Maryland",0.872273978927235,909705,86290,0.0123755949805279,0.00328861964517525,0.0213151160711881
"183","0500000US25015","Hampshire County, Massachusetts",0.162115013316613,161077,74778,0.02526395173454,0.00641025641025641,0.0213075332169103
"184","0500000US34007","Camden County, New Jersey",0.431289310660893,506224,73672,0.0164981373070782,0.00319318786588611,0.0211968394364382
"185","0500000US12069","Lake County, Florida",0.298243938025429,345432,57588,0.0214435146443515,0,0.0211298946979906
"186","0500000US12103","Pinellas County, Florida",0.257840987833831,968341,56737,0.0188314823756639,0.00193143408981169,0.0211044926426831
"187","0500000US20173","Sedgwick County, Kansas",0.31762592171107,513176,59716,0.0142036869144757,0.00362647325475975,0.0210414850905734
"188","0500000US39113","Montgomery County, Ohio",0.291278668289847,531467,54537,0.0124127230411171,0.00400827514869408,0.0210069771181566
"189","0500000US12089","Nassau County, Florida",0.129020198974977,82925,70939,0.0397727272727273,0,0.0209255417826832
"190","0500000US12095","Orange County, Florida",0.595674821763215,1355921,63461,0.0165052027269465,0,0.0208576857914752
"191","0500000US39043","Erie County, Ohio",0.166305510968432,74760,60653,0.017329255861366,0.00611620795107034,0.0206527349583595
"192","0500000US12109","St. Johns County, Florida",0.171564222197601,243693,90356,0.0421940928270042,0,0.0200981261316571
"193","0500000US26049","Genesee County, Michigan",0.27401543112926,407488,50389,0.0114827201783724,0.00356744704570792,0.0200966350643065
"194","0500000US04017","Navajo County, Arizona",0.584365459896039,109079,38897,0.0097799511002445,0,0.0199714865814538
